@relation mainnew-weka.filters.unsupervised.attribute.Remove-R1_clustered

@attribute Instance_number numeric
@attribute 769.948669 numeric
@attribute 2982.984131 numeric
@attribute Cluster {cluster0,cluster1}

@data
0,863.275757,3005.275635,cluster1
1,690.196411,3333.704834,cluster1
2,1197.556519,2984.470215,cluster1
3,1261.188599,2985.956299,cluster1
4,722.436707,3467.454346,cluster1
5,1316.336426,2999.331299,cluster1
6,749.586365,3781.022461,cluster1
7,1474.144165,2737.776855,cluster1
8,1662.919434,3148.684814,cluster1
9,1771.942505,2439.06958,cluster1
10,842.913513,4259.54834,cluster0
11,1794.850098,2392.257324,cluster1
12,1830.059814,2468.048828,cluster1
13,1807.152222,2400.430908,cluster1
14,1834.302002,2414.92041,cluster1
15,1827.938721,2339.12915,cluster1
16,1871.208618,2504.458252,cluster1
17,1836.422974,2342.4729,cluster1
18,1863.14856,2431.267578,cluster1
19,1834.302002,2304.577148,cluster1
20,2090.951416,3406.895508,cluster1
21,1885.631836,2449.472412,cluster1
22,1877.571777,2359.19165,cluster1
23,1910.660522,2540.496338,cluster1
24,1845.331543,2276.341309,cluster1
25,1889.874023,2364.392822,cluster1
26,2115.555908,3432.159424,cluster1
27,1920.841675,2531.951172,cluster1
28,1904.297241,2472.878662,cluster1
29,1910.660522,2380.73999,cluster1
30,1905.994141,2335.413818,cluster1
31,1865.269531,2243.275391,cluster1
32,2142.705566,3464.853516,cluster1
33,1935.264893,2495.91333,cluster1
34,1953.930298,2505.201416,cluster1
35,1941.628174,2404.14624,cluster1
36,910.363525,4476.519531,cluster0
37,1922.962769,2305.320312,cluster1
38,1964.535645,2475.107666,cluster1
39,1976.837891,2604.770508,cluster1
40,1968.353638,2427.55249,cluster1
41,1970.474731,2609.22876,cluster1
42,1987.019043,2597.339844,cluster1
43,1939.50708,2275.598145,cluster1
44,1978.958984,2627.433594,cluster1
45,1991.26123,2456.531494,cluster1
46,2005.260254,2561.301758,cluster1
47,2003.563354,2512.260254,cluster1
48,2034.531006,2546.069336,cluster1
49,945.149109,4573.859375,cluster0
50,2063.377686,2532.322754,cluster1
51,2073.134521,2547.927002,cluster1
52,2076.104004,2526.006836,cluster1
53,951.936523,4628.845215,cluster0
54,2131.676025,2527.864502,cluster1
55,941.331177,4686.803223,cluster0
56,2208.45874,2500.743164,cluster1
57,920.544678,4750.706055,cluster0
58,1137.74231,4560.855957,cluster0
59,2225.003174,2480.680664,cluster1
60,1158.953003,4579.432129,cluster0
61,899.758179,4796.403809,cluster0
62,1181.860596,4553.796875,cluster0
63,1177.194214,4609.154297,cluster0
64,889.152832,4836.899902,cluster0
65,2322.57251,3846.411133,cluster1
66,1191.193359,4660.053711,cluster0
67,906.969849,4943.899414,cluster0
68,1000.296936,4836.899902,cluster0
69,1019.810791,4857.333984,cluster0
70,1043.142578,4879.253906,cluster0
71,923.938416,5027.864258,cluster0
72,1084.291382,4879.253906,cluster0
73,2407.415283,4020.2854,cluster1
74,1104.22937,4849.531738,cluster0
75,934.543762,5104.027344,cluster0
76,1455.47876,4663.397461,cluster0
77,2047.681641,3794.397461,cluster1
78,1161.498291,4833.556152,cluster0
79,2446.867188,4102.76416,cluster1
80,948.542847,5153.812012,cluster0
81,2619.522217,3908.827393,cluster1
82,1116.955811,5016.71875,cluster0
83,958.723938,5196.537598,cluster0
84,1518.686646,4691.633301,cluster0
85,1145.378174,4766.681641,cluster0
86,1229.796753,4813.865234,cluster0
87,1160.225708,5041.982422,cluster0
88,2491.833984,4167.038086,cluster1
89,1176.77002,5026.75,cluster0
90,1499.172729,4723.956055,cluster0
91,2589.827393,3962.69873,cluster1
92,954.057617,5240.005859,cluster0
93,1167.013062,5073.933594,cluster0
94,1107.623169,4766.681641,cluster0
95,2202.944092,4021.771484,cluster1
96,1150.46875,5076.905762,cluster0
97,1157.68042,4924.208496,cluster0
98,1480.08313,4746.247559,cluster0
99,1197.980713,5001.486328,cluster0
100,954.481812,5266.012695,cluster0
101,1556.865967,4629.959961,cluster0
102,1237.008423,4749.591309,cluster0
103,2631.400391,3962.69873,cluster1
104,2179.187988,4038.118652,cluster1
105,1103.380981,5067.246094,cluster0
106,1181.860596,5140.437012,cluster0
107,2200.398682,4062.267822,cluster1
108,1588.257812,4600.237793,cluster0
109,2562.253418,4237.628418,cluster1
110,1186.526978,4748.10498,cluster0
111,2188.096436,4071.184326,cluster1
112,1185.678589,5157.527344,cluster0
113,1227.675781,4924.208496,cluster0
