@relation cluster-weka.filters.unsupervised.attribute.Remove-R1_clustered

@attribute Instance_number numeric
@attribute 0.30834 numeric
@attribute 104.94535 numeric
@attribute Cluster {cluster0,cluster1}

@data
0,0.36285,441.86072,cluster1
1,0.46058,480.58646,cluster1
2,0.63321,127.76131,cluster1
3,0.79966,221.3884,cluster1
4,0.84546,730.46004,cluster0
5,0.9741,487.99401,cluster1
6,1.00297,41.48475,cluster1
7,1.08279,485.35511,cluster1
8,1.09002,336.18339,cluster1
9,1.12933,850.41294,cluster0
10,1.51303,470.03696,cluster1
11,1.67509,682.31986,cluster0
12,1.68775,842.5898,cluster0
13,1.85123,612.75134,cluster0
14,1.85863,731.32934,cluster0
15,1.86198,438.8822,cluster1
16,1.87922,494.78942,cluster1
17,1.99094,178.46091,cluster1
18,2.04592,154.35045,cluster1
19,2.48299,96.22681,cluster1
20,2.51573,374.51722,cluster1
21,2.57445,256.57281,cluster1
22,2.60175,746.11891,cluster0
23,2.74409,721.89566,cluster0
24,2.79847,413.01118,cluster1
25,2.82685,194.92935,cluster1
26,2.87256,301.05986,cluster1
27,2.94316,867.49819,cluster0
28,3.13643,325.48886,cluster1
29,3.34827,528.4962,cluster0
30,3.3693,86.67738,cluster1
31,3.45617,989.24874,cluster0
32,3.51571,570.06551,cluster0
33,3.5632,92.90108,cluster1
34,3.62918,248.16741,cluster1
35,3.63259,667.74659,cluster0
36,3.72106,249.51125,cluster1
37,3.82253,694.12008,cluster0
38,3.94531,337.0842,cluster1
39,3.94741,185.19705,cluster1
40,3.94869,40.30472,cluster1
41,3.99689,616.51615,cluster0
42,4.14646,1.77546,cluster1
43,4.19204,199.74227,cluster1
44,4.19362,334.99119,cluster1
45,4.20392,647.12998,cluster0
46,4.27578,246.82022,cluster1
47,4.47076,983.33294,cluster0
48,4.4728,750.02039,cluster0
49,4.49077,423.63066,cluster1
50,4.95611,459.26117,cluster1
51,5.19767,928.44965,cluster0
52,5.46384,990.06674,cluster0
53,5.48604,397.63928,cluster1
54,5.67382,99.40077,cluster1
55,5.67883,390.77342,cluster1
56,5.77843,257.40476,cluster1
57,5.83814,13.66025,cluster1
58,5.86564,988.94678,cluster0
59,5.98705,108.51734,cluster1
60,6.25912,311.95646,cluster1
61,6.26584,127.34887,cluster1
62,6.65257,623.65907,cluster0
63,6.75361,717.13961,cluster0
64,6.8132,523.76336,cluster0
65,6.91364,790.11187,cluster0
66,7.09554,83.85336,cluster1
67,7.25059,410.34246,cluster1
68,7.2731,319.1751,cluster1
69,7.30741,322.05128,cluster1
70,7.30781,24.45956,cluster1
71,7.33489,969.03574,cluster0
72,7.55757,897.07125,cluster0
73,7.59556,65.67733,cluster1
74,7.72743,112.64122,cluster1
75,7.79708,928.45729,cluster0
76,7.88876,677.93644,cluster0
77,8.07756,156.45585,cluster1
78,8.16475,558.2665,cluster0
79,8.24062,35.90613,cluster1
80,8.24853,143.37653,cluster1
81,8.34318,91.77642,cluster1
82,8.36191,694.87855,cluster0
83,8.37086,770.53331,cluster0
84,8.38565,123.23644,cluster1
85,8.43738,310.75518,cluster1
86,8.53946,130.705,cluster1
87,8.65573,672.52474,cluster0
88,8.66832,558.5607,cluster0
89,8.81421,779.70546,cluster0
90,8.89062,512.08697,cluster1
91,8.89571,649.33547,cluster0
92,8.93757,66.73906,cluster1
93,9.16646,377.43643,cluster1
94,9.39514,798.13269,cluster0
95,9.41284,940.24246,cluster0
96,9.41689,344.35387,cluster1
97,9.43749,506.71101,cluster1
98,9.54502,8.33403,cluster1
99,9.5858,37.83381,cluster1
100,9.64643,372.47056,cluster1
101,9.81603,659.12682,cluster0
102,10.10963,155.81697,cluster1
103,10.17393,674.18925,cluster0
104,10.5157,708.41157,cluster0
105,10.63785,440.97561,cluster1
106,10.67901,116.91167,cluster1
107,10.88478,343.45677,cluster1
108,10.88978,891.15515,cluster0
109,10.97699,186.65263,cluster1
110,10.99732,83.712,cluster1
111,11.00693,739.07547,cluster0
112,11.04529,904.81872,cluster0
113,11.05765,906.82889,cluster0
114,11.11446,989.80344,cluster0
115,11.12752,283.78384,cluster1
116,11.14498,722.90069,cluster0
117,11.1463,273.50802,cluster1
118,11.27558,117.98044,cluster1
119,11.36415,327.35189,cluster1
120,11.84304,766.31049,cluster0
121,11.90187,123.40603,cluster1
122,11.99241,615.94504,cluster0
123,12.16537,271.92621,cluster1
124,12.21799,947.60039,cluster0
125,12.23142,115.7324,cluster1
126,12.37842,430.40932,cluster1
127,12.50569,433.02926,cluster1
128,12.64905,839.37258,cluster0
129,12.65671,149.24151,cluster1
130,13.02904,483.99646,cluster1
131,13.18213,971.24029,cluster0
132,13.41557,327.81076,cluster1
133,13.49829,539.24458,cluster0
134,14.18008,392.32053,cluster1
135,14.50274,952.35558,cluster0
136,14.50892,648.46058,cluster0
137,14.53092,772.86659,cluster0
138,14.56966,196.82788,cluster1
139,14.59286,623.60286,cluster0
140,14.5935,453.88566,cluster1
141,14.77811,721.04303,cluster0
142,14.86713,530.78556,cluster0
143,14.92342,305.91893,cluster1
144,14.95574,256.919,cluster1
145,14.98779,64.59223,cluster1
